Year-Month,Day,Week Day,Page Likes,Num.Posts,Average post eng. rate,Total engagements,Likes,Comments,Retweets,Engagements per post,Likes per post,Comments per post,Retweets per post
2020 - 05,25,Mon,21961649,10,0.02%,40301,36957,148,3196,4030,3696,15,320
2020 - 05,26,Tue,21967886,18,0.05%,207354,182629,292,24433,11520,10146,16,1357
2020 - 05,27,Wed,21973851,14,0.02%,59815,54746,224,4845,4273,3910,16,346
2020 - 05,28,Thu,21979782,18,0.04%,157942,141928,532,15482,8775,7885,30,860
2020 - 05,29,Fri,21987073,17,0.04%,132239,119931,369,11939,7779,7055,22,702
2020 - 05,30,Sat,21994528,10,0.04%,82733,74297,503,7933,8273,7430,50,793
2020 - 05,31,Sun,22001374,8,0.04%,74457,67298,647,6512,9307,8412,81,814
2020 - 06,1,Mon,22010956,21,0.09%,405620,347797,582,57241,19315,16562,28,2726
2020 - 06,2,Tue,22028283,11,0.04%,108714,101076,70,7568,9883,9189,6,688
2020 - 06,3,Wed,22038597,17,0.05%,169748,155908,191,13649,9985,9171,11,803
2020 - 06,4,Thu,22048495,16,0.04%,125255,115687,317,9251,7828,7230,20,578
2020 - 06,5,Fri,22056743,20,0.05%,229900,207305,428,22167,11495,10365,21,1108
2020 - 06,6,Sat,22064272,16,0.06%,210017,192289,197,17531,13126,12018,12,1096
2020 - 06,7,Sun,22071154,9,0.05%,95135,87401,359,7375,10571,9711,40,819
2020 - 06,8,Mon,22077441,16,0.05%,178970,161786,1041,16143,11186,10112,65,1009
2020 - 06,9,Tue,22082496,13,0.07%,193495,172184,283,21028,14884,13245,22,1618
2020 - 06,10,Wed,22088500,14,0.05%,141517,129999,189,11329,10108,9286,14,809
2020 - 06,11,Thu,22095132,14,0.05%,139476,128171,129,11176,9963,9155,9,798
2020 - 06,12,Fri,22099886,15,0.05%,157744,145443,489,11812,10516,9696,33,787
2020 - 06,13,Sat,22107485,14,0.04%,119554,107881,627,11046,8540,7706,45,789
2020 - 06,14,Sun,22114021,11,0.04%,95294,88313,256,6725,8663,8028,23,611
2020 - 06,15,Mon,22120385,15,0.05%,155228,139184,161,15883,10349,9279,11,1059
2020 - 06,16,Tue,22127334,20,0.10%,458953,403893,628,54432,22948,20195,31,2722
2020 - 06,17,Wed,22136879,17,0.05%,183040,165744,391,16905,10767,9750,23,994
2020 - 06,18,Thu,22145545,20,0.05%,242160,202516,3171,36473,12108,10126,159,1824
2020 - 06,19,Fri,22153186,44,0.06%,587250,510678,2359,74213,13347,11606,54,1687
2020 - 06,20,Sat,22167068,10,0.05%,120575,109252,558,10765,12058,10925,56,1077
2020 - 06,21,Sun,22173158,8,0.07%,129465,117297,979,11189,16183,14662,122,1399
2020 - 06,22,Mon,22179959,14,0.05%,148608,137087,189,11332,10615,9792,14,809
2020 - 06,23,Tue,22185321,20,0.07%,290540,258405,1226,30909,14527,12920,61,1545
2020 - 06,24,Wed,22191377,57,0.07%,873213,758462,2861,111890,15320,13306,50,1963
2020 - 06,25,Thu,22201621,16,0.07%,244815,224216,98,20501,15301,14014,6,1281
2020 - 06,26,Fri,22210396,13,0.05%,139520,124905,1647,12968,10732,9608,127,998
2020 - 06,27,Sat,22217963,45,0.04%,402172,355200,2244,44728,8937,7893,50,994
2020 - 06,28,Sun,22226803,13,0.07%,190197,171022,609,18566,14631,13156,47,1428
2020 - 06,29,Mon,22235019,24,0.05%,251955,229930,366,21659,10498,9580,15,902
2020 - 06,30,Tue,22241389,48,0.06%,691012,615149,2504,73359,14396,12816,52,1528
